Text_Final;Organisation;Environnement;Communication;Technique
Très bonne opération;0;0;0;1
Toilettes a revoir niveau hygiene;0;1;0;0
L'amabilité du personnel et le professionnalisme du médecin. Hors de la salle d'admissions j'ai trouvé tout excellent. Je suis très content d'avoir été pris dans cet hôpital.;0;0;1;1
Tous le personnel est au petit soin super gentil ils sont tous a l ecoute et apportent leur aide au maximum et tout le membre du personnel surtout au service urgences maternite ainsi que les sages femmes, infirmieres, auxiliaires, aide soignantes et femmes de ménage sont tous super super gentils j ai adoré cet hôpital et le recommande à tout le monde. J en parle à toutes les personnes de mon entourage du service parfait de Trousseau.;0;0;1;0
Infirmière ou personnel de l'accueil parfois extrêmement désagréable.<LF>On arrive déjà mal en point à l'hôpital, on souhaiterait au minimum avoir quelqu'un d'aimable et de souriant.;0;0;1;0
Le degré d'expertise du praticien.;0;0;1;1
le médecin, très accessible, a très bien expliqué la maladie, le traitement à venir et les conséquences possibles.<LF>Contact très agréable et très professionnel.;0;0;1;1
Le manque flagrant de médecins, et donc de consultations, empêche un suivi médical de qualité. En effet, lorsqu'on ne peux obtenir qu'un ou 2 rendez-vous par an ( rendez-vous pris la plupart du temps un an auparavant) le médecin se limite à des actes techniques et ne peux prendre en compte le dossier médical du patient, dans son ensemble et sa complexité. De même la communication avec le médecin est pratiquement inexistante.;1;0;1;0
Réel intérêt du médecin et son suivi;0;0;1;0
La résolution de mes problèmes médicaux;0;0;0;1
l'anesthésiste aurait pu m'expliquer l'acte qu'elle effectuait sur moi alors que je pleurai pendant qu'elle cherchait la veine.;0;0;1;0
REPAS INFECTE;0;1;0;0
Panneaux indiquant le numéro d'attente pour l'atttente à l'inscription ne sont pas toujours assez lisibles.;0;1;0;0
sensation de professionnalisme, de maitrise de la situation, un certain calme;0;0;0;1
les compétences;0;0;0;1
l'infirmière tres disponible et tres sympa;0;0;1;0
Que je serai prise en charge après différents examens;0;0;0;1
l attente particulière  de 2h30 en date du 2 février dernier dans le service orthopédie;1;0;0;0
La procédure de sortie n'est pas adaptée aux personnes isolées (nécessité de se déplacer entre des lieux différents au sein de l'hôpital alors que l'état de santé ne le permet pas). Aucune information sur cette procédure n'est délivrée (hormis le bouche à  oreille entre patients sortants). Le temps d'attente au bureau des sorties m'a paru très long. La procédure antérieure (remise du dossier de sortie dans la chambre)était beaucoup plus agréable.;1;0;0;0
Le personel soignant n'avait pas de badge je ne pouvait pas differencier si la personne qui entrait dans ma chambre etait une as ou une ide;0;1;0;0
<LF>Etablissement a la limite de l insalubrite pour un hopital aussi réputé (stomatologie);0;1;0;0
Les indications pour se rendre en consultation ou pour aller payer à la caisse.;0;1;0;0
le professionnalisme des équipes de l'unité fonctionnelle de l'épilepsie;0;0;1;1
disponibilité et écoute du personnel avec une extreme gentillesse;0;0;1;0
Cela  fait à peu prés deux ans que je consulte, suis opérée,passe les examens à l Hôpital TENON et je n'ai que des compliments à faire à tous les niveaux;0;0;0;1
Obtenir rendez-vous avec un nouveau médecin;0;0;0;1
L'accueil ne savez pas où je devais attendre pour ma visite. <LF>Le médecin ne m'a pas vu dans la salle d'attente convenue et j'ai attendu pour rien;1;0;0;0
Personnel très aimable;0;0;1;0
